isbn13,title,author,genre,salesPoint
9788936434120,소년이 온다 - 2024 노벨문학상 수상작가,한강 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,359496
9788925588735,프로젝트 헤일메리,"앤디 위어 (지은이), 강동혁 (옮긴이)",국내도서>소설/시/희곡>과학소설(SF)>외국 과학소설,345251
9791194530701,괴테는 모든 것을 말했다 - 제172회 아쿠타가와상 수상작,"스즈키 유이 (지은이), 이지수 (옮긴이)",국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,240457
9788937460586,싯다르타,"헤르만 헤세 (지은이), 박병덕 (옮긴이)",국내도서>소설/시/희곡>독일소설,231470
9788954682152,"작별하지 않는다 - 2024 노벨문학상 수상작가, 한강 장편소설",한강 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,198590
9791199305304,자몽살구클럽,한로로 (HANRORO) (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,154522
9788937473401,급류,정대건 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,130302
9791192372730,"위버멘쉬 - 누구의 시선도 아닌, 내 의지대로 살겠다는 선언","프리드리히 니체 (지은이), 어나니머스 (옮긴이)",국내도서>인문학>인문 에세이,117202
9791191114768,단 한 번의 삶,김영하 (지은이),국내도서>에세이>한국에세이,116657
9791124248171,인생을 위한 최소한의 생각,"신영준, 고영성 (지은이)",국내도서>인문학>교양 인문학,116203
9791193506516,초역 부처의 말 - 2500년 동안 사랑받은,"코이케 류노스케 (지은이), 박재현 (옮긴이)",국내도서>인문학>교양 인문학,109043
9788937461798,브람스를 좋아하세요...,"프랑수아즈 사강 (지은이), 김남주 (옮긴이)",국내도서>소설/시/희곡>프랑스소설,102374
9788925554990,스토너,"존 윌리엄스 (지은이), 김승욱 (옮긴이)",국내도서>소설/시/희곡>영미소설,93260
9791124038413,품격 있는 대화를 위한 지식 브리핑,김진 (지은이),국내도서>인문학>교양 인문학,93090
9791172134297,인비인 - 성해나 기담집,성해나 (지은이),국내도서>소설/시/희곡>호러.공포소설>한국 호러.공포소설,90370
9791192559100,니체의 초월자,"프리드리히 니체 (지은이), 김철 (편역)",국내도서>인문학>서양철학>현대철학>프리드리히 니체,87400
9791199383074,완벽한 원시인 - 10만 년을 되돌려 되찾는 뇌 설계도,자청 (지은이),국내도서>인문학>교양 인문학,85389
9791155819227,내면 근력,"짐 머피 (지은이), 지여울 (옮긴이)",국내도서>자기계발>성공>성공학,84610
9791130646381,이처럼 사소한 것들,"클레어 키건 (지은이), 홍한별 (옮긴이)",국내도서>소설/시/희곡>세계의 소설>아일랜드소설,80229
9791199496651,부처님 말씀대로 살아보니 - 인생이 가벼워지는 15가지 불교 수업,"토니 페르난도 (지은이), 강정선 (옮긴이)",국내도서>자기계발>성공>성공학,79955
9791197221989,"첫 여름, 완주",김금희 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,78981
9788932043562,"빛과 실 - 2024 노벨문학상 수상 강연문 수록, 2024 노벨문학상 수상작가",한강 (지은이),국내도서>에세이>한국에세이,75366
9791173323027,호의에 대하여 - 무엇이 우리를 살아가게 하는가,문형배 (지은이),국내도서>에세이>명사에세이>기타 명사에세이,74389
9791187232629,사랑이 있으니 살아집디다 - 강순희 말하고 유시민 듣다,"유시민, 김세라 (지은이)",국내도서>에세이>한국에세이,74365
9788937460883,오만과 편견,"제인 오스틴 (지은이), 윤지관, 전승희 (옮긴이)",국내도서>소설/시/희곡>영미소설,73810
9791199489530,무례한 세상에서 나를 지키는 법,"발타사르 그라시안 (지은이), 하와이 대저택 (편역)",국내도서>자기계발>인간관계>인간관계,72635
