isbn13,title,author,genre
"=""9788937460449""",데미안,"헤르만 헤세 (지은이), 전영애 (옮긴이)",국내도서>소설/시/희곡>독일소설
"=""9788934972464""","사피엔스 - 유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문","유발 하라리 (지은이), 조현욱 (옮긴이), 이태수 (감수)",국내도서>인문학>인류학/고고학>인류학
"=""9788937461033""",인간 실격,"다자이 오사무 (지은이), 김춘미 (옮긴이)",국내도서>소설/시/희곡>일본소설>1950년대 이전 일본소설
"=""9791141602451""",절창,구병모 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
"=""9791173899645""",동물농장,"조지 오웰 (지은이), 도정일 (옮긴이)",국내도서>소설/시/희곡>영미소설
"=""9788937460777""",1984,"조지 오웰 (지은이), 정회성 (옮긴이)",국내도서>소설/시/희곡>영미소설
"=""9788937460470""",호밀밭의 파수꾼,"제롬 데이비드 샐린저 (지은이), 정영목 (옮긴이)",국내도서>소설/시/희곡>영미소설
"=""9791173899652""",이방인,"알베르 카뮈 (지은이), 김화영 (옮긴이)",국내도서>소설/시/희곡>프랑스소설
"=""9791165341909""",달러구트 꿈 백화점 1 - 주문하신 꿈은 매진입니다,이미예 (지은이),국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설
"=""9791190090018""",우리가 빛의 속도로 갈 수 없다면 - 2019 제43회 오늘의 작가상 수상작,김초엽 (지은이),국내도서>소설/시/희곡>과학소설(SF)>한국 과학소설
"=""9788997381678""",소년과 두더지와 여우와 말,"찰리 맥커시 (지은이), 이진경 (옮긴이)",국내도서>에세이>사진/그림 에세이
"=""9788970128337""",달리기를 말할 때 내가 하고 싶은 이야기,"무라카미 하루키 (지은이), 임홍빈 (옮긴이)",국내도서>에세이>외국에세이
"=""9788937834790""","정의란 무엇인가 - 한국 200만 부 돌파, 37개국에서 출간된 세계적 베스트셀러","마이클 샌델 (지은이), 김명철 (옮긴이), 김선욱 (감수)",국내도서>인문학>서양철학>윤리학/도덕철학
"=""9791186757093""","자존감 수업 - 하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련",윤홍균 (지은이),국내도서>인문학>심리학/정신분석학>교양 심리학
"=""9788998441074""",나는 소망한다 내게 금지된 것을,양귀자 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이전 한국소설
"=""9788937460388""",달과 6펜스,"서머싯 몸 (지은이), 송무 (옮긴이)",국내도서>소설/시/희곡>영미소설
"=""9791168127012""",파쇄,구병모 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
"=""9791171711673""",하루 한 장 나의 어휘력을 위한 필사 노트 - 할 말은 많지만 쓸 만한 말이 없는 어른들을 위한 숨은 어휘력 찾기,유선경 (지은이),국내도서>인문학>교양 인문학
"=""9788954681155""",홍학의 자리,정해연 (지은이),국내도서>소설/시/희곡>추리/미스터리소설>한국 추리/미스터리소설
"=""9791190313186""",지적 대화를 위한 넓고 얕은 지식 1 - 현실 편 : 역사 / 경제 / 정치 / 사회 / 윤리,채사장 (지은이),국내도서>인문학>교양 인문학
